id,text
1,a little better than sorcerer 's stone . 
2,looking for a return ticket to realism 
3,the shameless self-caricature of ` analyze this ' ( 1999 ) and 
4,"director paul cox 's unorthodox , abstract approach to visualizing nijinsky 's diaries is both stimulating and demanding . "
5,stevens ' vibrant creative instincts 
6,inventiveness 
7,it was only made for teenage boys and wrestling fans 
8,intriguing and honorable 
9,", thoroughly winning flight of revisionist fancy . "
10,"boasting some of the most poorly staged and lit action in memory , impostor is as close as you can get to an imitation movie . "
11,"and more entertaining , too . "
12,not enough puff 
13,i spied with my little eye ... a mediocre collection of cookie-cutter action scenes and occasionally inspired dialogue bits 
14,disappoints 
15,"namely , an archetypal desire to enjoy good trash every now and then . "
16,nothing but an episode of smackdown 
17,something hip and transgressive 
18,entertainment adults can see without feeling embarrassed 
19,are infectious 
20,"keeps this pretty watchable , and "
21,"feels as immediate as the latest news footage from gaza and , because of its heightened , well-shaped dramas , twice as powerful . "
22,scant place for the viewer 
23,"is visually ravishing , penetrating , impenetrable "
24,absolute joy 
25,fans of sandler 's comic taste may find it uninteresting 
26,feels like three hours 
27,a pretty good team 
28,fifth beer-soaked film 
29,"genial is the conceit , this is one of those rare pictures that you root for throughout , "
30,an affected malaise 
31,has created a beautiful canvas 
32,we do n't get paid enough to sit through crap like this . 
33,has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense . 
34,will leave you with a smile on your face and a grumble in your stomach . 
35,has all the values of a straight-to-video movie 
36,to make the formula feel fresh 
37,hackneyed story 
38,to make up for the ones that do n't come off 
39,"saddled with an unwieldy cast of characters and angles , but the payoff is powerful and revelatory "
40,play out realistically if not always fairly . 
41,winning shot 
42,incredibly layered and stylistic film 
43,laugh-a-minute crowd pleaser 
44,sometimes improbable story 
45,"ruined by amateurish writing and acting , "
46,witty dialogue and inventive moments 
47,loves 
48,deserves an oscar nomination . 
49,about movie love 
50,has merit and 
51,'ve seen the hippie-turned-yuppie plot before 
52,the disadvantage of also looking cheap 
53,friendly kick 
54,undisciplined 
55,", vicious and absurd "
56,a generic bloodbath 
57,gently comic even as the film breaks your heart 
58,past his prime 
59,is the stuff that disney movies are made of . 
60,leave the theater 
61,"skip this dreck , "
62,", the film retains ambiguities that make it well worth watching . "
63,"watch , giggle and get an adrenaline boost without feeling like you 've completely lowered your entertainment standards "
64,no art 
