id,text
1,a little better than sorcerer 's stone . 
2,looking for a return ticket to realism 
3,the shameless self-caricature of ` analyze this ' ( 1999 ) and 
4,"director paul cox 's unorthodox , abstract approach to visualizing nijinsky 's diaries is both stimulating and demanding . "
5,stevens ' vibrant creative instincts 
6,inventiveness 
7,it was only made for teenage boys and wrestling fans 
8,intriguing and honorable 
9,", thoroughly winning flight of revisionist fancy . "
10,"boasting some of the most poorly staged and lit action in memory , impostor is as close as you can get to an imitation movie . "
